acctno,total_mailed,ytd_transactions_2009,ytd_sales_2009,zhomeent,zmobav,zcredit,zhitech,ZHOMEENT01,ZMOBAV01,ZCREDIT01,ZHITECH01
SDWWPHG,7,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
SDPADAH,10,4,333,U,U,U,Y,0.0,0.0,0.0,1.0
SDHGYQQ,10,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
PQDWLGH,16,5,2481,U,U,Y,Y,0.0,0.0,1.0,1.0
PQDAHYD,14,1,72,U,U,Y,Y,0.0,0.0,1.0,1.0
PSSHQYL,11,3,618,U,U,Y,Y,0.0,0.0,1.0,1.0
PLDWHQH,7,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
PHWQHDP,12,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
PHDQWWD,16,1,57,U,U,Y,Y,0.0,0.0,1.0,1.0
PHDQPPQ,12,2,246,U,U,Y,U,0.0,0.0,1.0,0.0
PHDWDQW,13,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
PHDAQWG,13,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
PYAGAHH,16,2,225,Y,U,Y,U,1.0,0.0,1.0,0.0
LPQHPPQ,15,2,597,U,U,Y,Y,0.0,0.0,1.0,1.0
LHSLLHG,16,4,1287,U,U,Y,Y,0.0,0.0,1.0,1.0
LYPYSDL,14,2,384,U,U,Y,Y,0.0,0.0,1.0,1.0
LYDALQQ,10,2,267,U,U,Y,Y,0.0,0.0,1.0,1.0
GQPDWQQ,16,2,426,U,U,Y,Y,0.0,0.0,1.0,1.0
GWQPQSY,7,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
GWPAALW,16,3,687,U,U,U,U,0.0,0.0,0.0,0.0
GWGDHSP,9,0,0,U,U,Y,U,0.0,0.0,1.0,0.0
GAHYLQW,16,1,300,Y,Y,Y,Y,1.0,1.0,1.0,1.0
GPGQYYL,13,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
GPGQDAH,12,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
GPGAQLL,8,3,528,Y,U,Y,Y,1.0,0.0,1.0,1.0
GPGAWYY,10,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
GPGAASY,8,2,477,U,U,Y,Y,0.0,0.0,1.0,1.0
GPGAAGW,11,1,87,U,U,Y,Y,0.0,0.0,1.0,1.0
GPGAPPP,14,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
GPGAHYA,9,0,0,,,,,,,,
GPGAYQY,8,2,543,U,U,Y,Y,0.0,0.0,1.0,1.0
GPGSQHD,10,1,12,Y,U,Y,Y,1.0,0.0,1.0,1.0
GPGGLGD,13,7,3093,U,U,Y,Y,0.0,0.0,1.0,1.0
GPHDLGA,10,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
GPHDLGA,10,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
GPDYASA,16,1,240,U,U,Y,U,0.0,0.0,1.0,0.0
GDGGHQD,8,1,96,U,U,Y,Y,0.0,0.0,1.0,1.0
GDGHSDA,13,2,348,U,U,Y,Y,0.0,0.0,1.0,1.0
GDGYWAH,16,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
GDHWADL,15,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
GDHGPLQ,16,2,255,Y,U,Y,Y,1.0,0.0,1.0,1.0
GDHDLGW,10,1,600,Y,U,Y,Y,1.0,0.0,1.0,1.0
GDYHYHD,14,2,516,U,U,Y,Y,0.0,0.0,1.0,1.0
GDDAPHS,11,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
HQDSAQG,15,1,135,Y,U,Y,Y,1.0,0.0,1.0,1.0
HWHDWLS,12,4,888,U,U,Y,Y,0.0,0.0,1.0,1.0
HSWDHGH,16,1,480,U,U,Y,Y,0.0,0.0,1.0,1.0
HSADSSH,16,5,837,U,U,Y,Y,0.0,0.0,1.0,1.0
HSSQHDY,15,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
HSSAWQD,10,8,2043,U,U,Y,Y,0.0,0.0,1.0,1.0
HSSAPLL,16,2,204,U,U,Y,Y,0.0,0.0,1.0,1.0
HGPYLQP,14,3,2217,U,U,Y,Y,0.0,0.0,1.0,1.0
HHHDHGA,7,2,618,U,U,Y,Y,0.0,0.0,1.0,1.0
HHYHWHD,7,1,132,U,U,Y,Y,0.0,0.0,1.0,1.0
HDWQSLD,16,2,687,Y,Y,Y,Y,1.0,1.0,1.0,1.0
HDWLDLA,11,0,0,U,U,U,U,0.0,0.0,0.0,0.0
HDWGHYG,13,1,264,U,U,Y,U,0.0,0.0,1.0,0.0
HDWGYQA,7,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
HDWGYDS,13,4,2073,Y,U,Y,Y,1.0,0.0,1.0,1.0
HDWHWHA,12,2,84,U,U,Y,Y,0.0,0.0,1.0,1.0
HDWYWAW,15,3,576,Y,U,Y,Y,1.0,0.0,1.0,1.0
HDWYHAL,16,4,693,U,U,Y,Y,0.0,0.0,1.0,1.0
HDWYYLH,16,1,66,U,U,Y,Y,0.0,0.0,1.0,1.0
HDWYDYQ,10,0,0,,,,,,,,
HDAQPWG,11,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
HDSPAYP,10,1,597,U,U,Y,Y,0.0,0.0,1.0,1.0
YQSLQGL,16,3,936,U,U,Y,Y,0.0,0.0,1.0,1.0
YQLAQLA,16,2,309,U,U,Y,Y,0.0,0.0,1.0,1.0
YWWSLSA,15,3,1011,U,U,Y,Y,0.0,0.0,1.0,1.0
YAYHLGH,16,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
YLQYDGA,13,4,750,U,U,Y,Y,0.0,0.0,1.0,1.0
YLQDYLS,8,0,0,,,,,,,,
YLSQLHY,12,0,0,U,U,U,U,0.0,0.0,0.0,0.0
YLSAWLA,8,1,90,U,U,Y,Y,0.0,0.0,1.0,1.0
YLSSYHD,12,2,855,U,U,Y,Y,0.0,0.0,1.0,1.0
YLLWGWG,7,1,141,U,U,Y,Y,0.0,0.0,1.0,1.0
YGHQAWY,16,2,2055,Y,U,Y,Y,1.0,0.0,1.0,1.0
YYLDDQA,16,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
DQGYYDW,8,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
DQHWYLS,9,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
